"recordID","recordStartTime","recordStopTime","tempDegC","recordingPath","annotationPath"
"8567.240804225923","2024-08-04T22:59:23","2024-08-05T01:59:23",23.37,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240804225923.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240804225923.Table.1.selections.txt"
"8567.240805015923","2024-08-05T01:59:23","2024-08-05T04:59:22",23.2,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240805015923.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240805015923.Table.1.selections.txt"
"8567.240805045922","2024-08-05T04:59:22","2024-08-05T07:59:21",23.03,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240805045922.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240805045922.Table.1.selections.txt"
"8567.240805075921","2024-08-05T07:59:21","2024-08-05T10:59:20",22.95,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240805075921.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240805075921.Table.1.selections.txt"
"8567.240805105920","2024-08-05T10:59:20","2024-08-05T13:59:19",23.54,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240805105920.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240805105920.Table.1.selections.txt"
"8567.240805135920","2024-08-05T13:59:20","2024-08-05T16:59:19",23.97,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240805135920.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240805135920.Table.1.selections.txt"
"8567.240805165919","2024-08-05T16:59:19","2024-08-05T19:59:19",24.14,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240805165919.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240805165919.Table.1.selections.txt"
"8567.240805195919","2024-08-05T19:59:19","2024-08-05T22:59:18",23.8,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240805195919.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240805195919.Table.1.selections.txt"
"8567.240805225918","2024-08-05T22:59:18","2024-08-06T01:59:18",23.63,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240805225918.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240805225918.Table.1.selections.txt"
"8567.240806015918","2024-08-06T01:59:18","2024-08-06T04:59:17",23.54,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240806015918.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240806015918.Table.1.selections.txt"
"8567.240806045917","2024-08-06T04:59:17","2024-08-06T07:59:17",23.46,"D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/Downloaded 15AUG2024_1m/8567/8567.240806045917.wav","D:/Lake Sunapee NH_Hydrophone files Aug-Sept 2024/annotations/8567.240806045917.Table.1.selections.txt"
